------------------------------------------
Welcome to SCETlib -- Don't Stop Resummin'
------------------------------------------
SCETlib version      1973dcf

Read runcard inclusive_Z_CT18Z_nplambda_n3lo_sing.ini
Using custom EW parameters.
{'muB': 'central', 'nuB': 'central', 'muS': 'central', 'nuS': 'central', 'muf': 'central', 'muFO_fixed': '0.', 'kappaFO': '1.', 'kappaf': '1.', 'phase_muH': '1.', 'b0_over_bmax': '0.', 'b0_over_bmax_global': '0.', 'mu0_min': '1.', 'muB_min': '1.', 'muS_min': '1.', 'nuS_min': '0.', 'muf_min': '1.40', 'lambda': '0.', 'transition_points': '[0.2, 0.6, 1.0]', 'transition_type': 'slope', 'recoil_scheme': 'collins_soper', 'compensate_fo': 'yes', 'c_nu': '0.1', 'omega_nu': '0.', 'b0_over_bmax_nu': '0.', 'Omega': '0.', 'Delta_Omega': '0.', 'Lambda2': '0.', 'Delta_Lambda2': '0.', 'Lambda4': '0.0625', 'Omega_Down': '0.', 'Lambda2_Down': '0.', 'Omega_DownBar': '0.', 'Lambda2_DownBar': '0.', 'Omega_Up': '0.', 'Lambda2_Up': '0.', 'Omega_UpBar': '0.', 'Lambda2_UpBar': '0.', 'Omega_Strange': '0.', 'Lambda2_Strange': '0.', 'Omega_StrangeBar': '0.', 'Lambda2_StrangeBar': '0.', 'Omega_Charm': '0.', 'Lambda2_Charm': '0.', 'Omega_CharmBar': '0.', 'Lambda2_CharmBar': '0.', 'Omega_Bottom': '0.', 'Lambda2_Bottom': '0.', 'Omega_BottomBar': '0.', 'Lambda2_BottomBar': '0.', 'Omega_Gluon': '0.', 'Lambda2_Gluon': '0.'}
Calculating central values only (no variations config file found).

Started job on Sun May 12 12:46:43 2024
Machine:              lxplus8s10.cern.ch
Number of threads:    128
Number of CUBA cores: 1
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 132.000000,  173.000000} in       1s. Obtained xsec =        -2.5018170885 +-         0.0001397321.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 173.000000,  253.000000} in       1s. Obtained xsec =        -4.7256697216 +-         0.0002620707.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 32.600000,  40.400000} in       1s. Obtained xsec =         3.8062950681 +-         0.0002173552.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 25.500000,  29.000000} in       1s. Obtained xsec =         2.9562500842 +-         0.0001681564.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 32.600000,  40.400000} in       1s. Obtained xsec =         4.4805009491 +-         0.0002790325.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.200000, -2.800000}, qT = { 5.000000,  8.000000} in       1s. Obtained xsec =        14.9297778318 +-         0.0004028055.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 18.500000,  22.000000} in       1s. Obtained xsec =         5.4572373436 +-         0.0003702971.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 105.000000,  132.000000} in       1s. Obtained xsec =        -1.1956672975 +-         0.0000763758.
   Finished Q = { 60.000000,  120.000000}, Y = {-3.600000, -3.200000}, qT = { 18.500000,  22.000000} in       1s. Obtained xsec =         3.7935571188 +-         0.0002083007.
   Finished Q = { 60.000000,  120.000000}, Y = {-2.800000, -2.400000}, qT = { 22.000000,  25.500000} in       1s. Obtained xsec =         4.2813434261 +-         0.0002853320.
